NAME,CLAN_GAMES,CLAN_MEMBERS
SnotRag,48,"FTFMike,Solo123024,Darkstar,ferenz,matrixblue,Deepthought,PAKMAN,WallyZZZ,CasteelG,TheCowboy,DiffEngine,Dmaxspeedz,NotaDJ,Evilaizen,Errata,Jarv10k,cverre116,Vaa0007,felipeck,Einherjar,afro,Nirnaeth,Kuja666,JustTurrble,Bearded,Wonderdog"
Cronotorious,45,"BigginsCP1,Kuja666,WallyZZZ,MrSloth,legendary10"
cverre116,40,"SnotRag,ferenz,KJC,Sparky,DiffEngine,Solo123024,Bearded,Errata,WallyZZZ,Jarv10k"
CasteelG,35,"Solo123024,MTheyer,NateTheGreat,Zona,WallyZZZ,SnotRag,TheCowboy,matrixblue,Deepthought,Bearded,NotaDJ,Kuja666,Waffles,Errata"
KingCraigers,34,"FatBassKiten,MrSloth,Berix,Kuja666,Nirnaeth,BigginsCP1,KJC,matrixblue,kryptea"
skootz,32,"Asakura,zachIsBad,JustTurrble,theUnderLoaf,HotlineBlizz"
Einherjar,32,"NotaDJ,espynn,Nirnaeth,WallyZZZ,DiffEngine,afro,Jarv10k,DeadlyCrane,TheCowboy,a1z0rz,HiTech,legendary10,Solo123024,SnotRag,Kuja666,felipeck"
Gjallarhorn,28,"Zona,NateTheGreat,felipeck,Jukebox,Errata,PAKMAN,TheCowboy,Dmaxspeedz,KJC,Deepthought"
kryptea,27,"espynn,KJC,Danjer,WallyZZZ,theUnderLoaf,EkunSaruoy,Jaydu,MTheyer,KingCraigers,TheCowboy,HotlineBlizz"
DeadlyCrane,25,"Einherjar,TheCowboy,a1z0rz,HiTech,legendary10,Nirnaeth,Violinplaya,Hebel,Deepthought,Jarv10k,MTheyer,Oyerth"
Trogdor,22,"Solo123024,FTFMike,Jaydu,WallyZZZ"
Wonderdog,16,"Jaydu,TheCowboy,MTheyer,Waffles,Bearded,SnotRag"
Cyril,11,DeltaProject
actnuevo,10,"Darkstar,legendary10"
Danjer,10,"afro,EkunSaruoy,PatchMavTV,WallyZZZ,theUnderLoaf,kryptea,Waffles,Vaa0007"
Archernoles,7,"Vaa0007,Bearded,zachIsBad,Jukebox,Errata,matrixblue"
XT1NCT10N,6,"NotaDJ,MrSloth,JustTurrble"
Oyerth,5,"DeadlyCrane,JustTurrble,WallyZZZ"
Hedbutter,5,"Waffles,felipeck,baz2sga,Jarv10k,JustTurrble"
Harblz,4,"TheCowboy,Dmaxspeedz"
reap,4,"Jarv10k,BigginsCP1"
Sparky,3,cverre116
Pluto,3,Vaa0007
TheProfessor,3,Deepthought
rolls,2,"Zona,NateTheGreat"
Vertiical,2,"Vaa0007,Live55"
Exadus,1,Kuja666
AlphaX,1,Vaa0007
Arrrmondoo,0,
tdot,0,
Elycion,0,
Shootemup,0,
BrandoTGreat,0,
Country,0,
OTTE76,0,
CapnSternn,0,
Loose,0,
Harmon,0,
Kelimvor33,0,
PhaetonFire,0,
DadGibsonIam,0,
